site,pisco_version,year,PRCPTOT_mm,CDD_days,CWD_days,RX1day_mm,RX5day_mm,R5mm_days,R10mm_days,SDII_mm_per_wetday,R95pTOT_mm,N95_days
Shukkloc,PISCO_v2,1981,446.61,75,23,35.11,45.3,26,7,4.51,150.59,9
Shukkloc,PISCO_v2,1982,472.33,74,11,49.2,102.81,20,12,5.9,318.96,17
Shukkloc,PISCO_v2,1983,840.01,122,29,49.64,143.39,47,26,7.71,588.58,32
Shukkloc,PISCO_v2,1984,258.13,109,20,5.45,20.63,2,0,2.39,0.0,0
Shukkloc,PISCO_v2,1985,235.54,106,22,7.17,27.24,8,0,2.36,4.19,1
Shukkloc,PISCO_v2,1986,233.11,110,9,6.95,24.7,9,0,2.65,0.0,0
Shukkloc,PISCO_v2,1987,342.41,135,20,8.43,28.27,13,0,2.7,5.87,1
Shukkloc,PISCO_v2,1988,169.31,124,5,6.08,17.34,1,0,1.99,0.0,0
Shukkloc,PISCO_v2,1989,376.29,113,17,10.22,29.49,12,1,2.73,5.41,1
Shukkloc,PISCO_v2,1990,153.8,120,24,8.54,15.35,1,0,2.2,0.0,0
Shukkloc,PISCO_v2,1991,160.73,101,10,5.27,19.32,1,0,2.06,0.0,0
Shukkloc,PISCO_v2,1992,200.06,54,11,6.32,19.64,4,0,2.15,2.21,1
Shukkloc,PISCO_v2,1993,542.04,105,33,9.97,40.58,44,0,3.79,14.08,2
Shukkloc,PISCO_v2,1994,439.17,124,33,12.5,39.75,23,2,3.54,44.16,5
Shukkloc,PISCO_v2,1995,275.67,132,8,10.46,26.5,14,1,2.78,9.28,1
Shukkloc,PISCO_v2,1996,386.37,127,13,16.09,44.5,19,5,3.86,60.08,5
Shukkloc,PISCO_v2,1997,347.99,124,23,11.42,32.39,21,3,3.31,58.72,7
Shukkloc,PISCO_v2,1998,638.63,89,31,30.13,55.65,39,15,4.8,197.4,15
Shukkloc,PISCO_v2,1999,489.26,112,28,26.06,83.81,28,9,3.95,97.5,7
Shukkloc,PISCO_v2,2000,481.8,81,28,19.74,54.13,36,8,4.34,135.94,13
Shukkloc,PISCO_v2,2001,481.37,82,23,12.45,41.82,35,5,3.59,60.33,6
Shukkloc,PISCO_v2,2002,392.91,158,11,51.6,85.78,20,4,3.97,112.97,7
Shukkloc,PISCO_v2,2003,257.77,157,14,13.46,25.16,13,1,2.96,22.05,2
Shukkloc,PISCO_v2,2004,220.54,131,9,13.35,26.6,5,1,2.79,22.78,2
Shukkloc,PISCO_v2,2005,217.87,166,14,9.19,24.94,10,0,2.87,0.0,0
Shukkloc,PISCO_v2,2006,423.85,125,42,13.72,37.91,27,4,3.72,65.48,6
Shukkloc,PISCO_v2,2007,320.72,150,20,12.39,30.82,18,3,3.31,24.54,3
Shukkloc,PISCO_v2,2008,435.12,84,26,13.47,36.64,26,5,3.6,80.32,8
Shukkloc,PISCO_v2,2009,593.45,95,18,14.48,50.66,36,11,3.98,125.74,10
Shukkloc,PISCO_v2,2010,281.91,145,12,11.01,27.1,13,1,2.88,11.01,1
Shukkloc,PISCO_v2,2011,360.18,84,17,9.15,28.82,19,0,3.34,27.55,4
Shukkloc,PISCO_v2,2012,390.07,144,11,16.97,53.85,24,2,3.48,49.97,6
Shukkloc,PISCO_v2,2013,362.58,121,30,14.14,41.6,24,5,3.74,42.34,4
Shukkloc,PISCO_v2,2014,372.4,116,21,12.34,36.63,20,4,3.08,28.88,4
Shukkloc,PISCO_v2,2015,358.04,124,14,14.41,61.3,12,5,3.06,55.27,5
Shukkloc,PISCO_v2,2016,216.18,121,15,9.25,30.18,12,0,3.0,0.0,0
Shukkloc,PISCO_v2,2017,606.89,76,33,23.44,91.51,42,13,4.89,177.54,14
Shukkloc,PISCO_v2,2018,326.33,134,19,16.74,31.21,17,2,3.3,35.01,4
Shukkloc,PISCO_v2,2019,367.65,126,16,17.09,41.27,17,3,3.2,37.0,3
Ricococha_Weetacocha,PISCO_v2,1981,412.12,7,17,9.13,24.06,7,0,2.08,21.5,4
Ricococha_Weetacocha,PISCO_v2,1982,390.85,8,20,6.98,21.52,9,0,2.01,37.61,7
Ricococha_Weetacocha,PISCO_v2,1983,522.61,15,12,12.34,27.22,19,3,2.4,56.47,6
Ricococha_Weetacocha,PISCO_v2,1984,372.09,14,11,11.73,23.09,5,1,1.92,27.07,4
Ricococha_Weetacocha,PISCO_v2,1985,303.48,13,8,5.34,15.08,2,0,1.79,3.88,1
Ricococha_Weetacocha,PISCO_v2,1986,338.45,9,10,6.36,15.64,2,0,1.79,11.62,3
Ricococha_Weetacocha,PISCO_v2,1987,372.8,10,12,7.54,16.38,4,0,1.88,19.32,4
Ricococha_Weetacocha,PISCO_v2,1988,386.27,11,16,5.53,17.05,2,0,1.88,7.35,2
Ricococha_Weetacocha,PISCO_v2,1989,360.05,10,9,6.59,13.06,3,0,1.91,14.11,4
Ricococha_Weetacocha,PISCO_v2,1990,305.77,12,9,8.12,14.86,2,0,1.72,12.04,3
Ricococha_Weetacocha,PISCO_v2,1991,289.32,15,11,8.49,14.62,1,0,1.71,13.32,2
Ricococha_Weetacocha,PISCO_v2,1992,314.29,10,8,7.97,16.87,2,0,1.75,28.52,7
Ricococha_Weetacocha,PISCO_v2,1993,514.98,5,14,8.27,23.58,11,0,2.31,22.36,6
Ricococha_Weetacocha,PISCO_v2,1994,446.39,14,12,8.44,20.45,11,0,2.25,30.1,5
Ricococha_Weetacocha,PISCO_v2,1995,356.58,28,9,8.79,20.39,9,0,2.07,43.19,7
Ricococha_Weetacocha,PISCO_v2,1996,256.63,113,6,12.07,21.1,6,1,2.49,17.97,2
Ricococha_Weetacocha,PISCO_v2,1997,282.43,49,7,8.42,23.2,16,0,2.97,31.61,6
Ricococha_Weetacocha,PISCO_v2,1998,342.56,126,10,8.53,27.17,14,0,3.11,30.84,4
Ricococha_Weetacocha,PISCO_v2,1999,187.42,88,6,7.13,16.7,3,0,2.23,0.0,0
Ricococha_Weetacocha,PISCO_v2,2000,199.87,56,5,7.21,17.69,4,0,2.2,12.25,3
Ricococha_Weetacocha,PISCO_v2,2001,249.74,98,9,11.86,19.05,4,1,2.55,11.86,1
Ricococha_Weetacocha,PISCO_v2,2002,575.27,80,15,14.32,45.33,51,4,4.36,230.13,29
Ricococha_Weetacocha,PISCO_v2,2003,287.79,93,10,8.63,26.3,14,0,3.0,48.1,7
Ricococha_Weetacocha,PISCO_v2,2004,280.27,97,8,10.77,37.41,16,2,3.26,74.98,9
Ricococha_Weetacocha,PISCO_v2,2005,256.82,74,13,10.76,27.42,15,1,3.17,51.26,6
Ricococha_Weetacocha,PISCO_v2,2006,435.84,47,11,14.86,53.15,31,5,4.23,190.43,22
Ricococha_Weetacocha,PISCO_v2,2007,403.83,82,11,16.7,41.23,27,8,4.16,181.83,20
Ricococha_Weetacocha,PISCO_v2,2008,350.25,68,11,12.46,36.02,17,3,3.61,121.19,15
Ricococha_Weetacocha,PISCO_v2,2009,408.63,65,11,13.18,35.54,29,2,3.71,160.47,20
Ricococha_Weetacocha,PISCO_v2,2010,346.4,76,6,20.78,53.82,23,4,3.98,142.05,14
Ricococha_Weetacocha,PISCO_v2,2011,464.95,68,15,14.35,56.36,36,10,4.7,275.1,31
Ricococha_Weetacocha,PISCO_v2,2012,429.85,90,7,17.55,45.95,29,7,4.06,195.91,21
Ricococha_Weetacocha,PISCO_v2,2013,381.27,86,11,16.94,44.38,30,5,4.19,175.25,21
Ricococha_Weetacocha,PISCO_v2,2014,434.04,77,10,21.57,41.15,33,5,4.26,219.84,25
Ricococha_Weetacocha,PISCO_v2,2015,469.01,53,14,23.35,58.35,30,10,3.94,184.91,17
Ricococha_Weetacocha,PISCO_v2,2016,273.21,114,8,13.03,30.35,15,2,3.59,117.6,15
Ricococha_Weetacocha,PISCO_v2,2017,524.03,73,6,22.86,61.72,36,12,4.81,282.69,27
Ricococha_Weetacocha,PISCO_v2,2018,340.86,119,7,12.3,30.38,25,3,3.96,117.28,14
Ricococha_Weetacocha,PISCO_v2,2019,360.93,59,7,14.28,24.7,20,3,3.25,99.05,12
