time,precip,site,version,selected_lat,selected_lon
1981-03-26,6.3361473,Shukkloc,PISCO_v2,-9.65,-77.75
1981-03-27,0.6878056,Shukkloc,PISCO_v2,-9.65,-77.75
1981-03-28,0.6455918,Shukkloc,PISCO_v2,-9.65,-77.75
1981-03-29,2.5214052,Shukkloc,PISCO_v2,-9.65,-77.75
1981-03-30,4.8897424,Shukkloc,PISCO_v2,-9.65,-77.75
1981-03-31,2.1293526,Shukkloc,PISCO_v2,-9.65,-77.75
1981-04-01,0.87583417,Shukkloc,PISCO_v2,-9.65,-77.75
1981-04-02,2.8535872,Shukkloc,PISCO_v2,-9.65,-77.75
1981-04-03,0.9748295,Shukkloc,PISCO_v2,-9.65,-77.75
1981-04-04,2.7241442,Shukkloc,PISCO_v2,-9.65,-77.75
1981-04-05,2.2979662,Shukkloc,PISCO_v2,-9.65,-77.75
1981-04-06,1.6981461,Shukkloc,PISCO_v2,-9.65,-77.75
1981-04-07,0.41042334,Shukkloc,PISCO_v2,-9.65,-77.75
1981-04-08,1.1176752,Shukkloc,PISCO_v2,-9.65,-77.75
1981-04-09,1.9722651,Shukkloc,PISCO_v2,-9.65,-77.75
1981-04-10,1.7294238,Shukkloc,PISCO_v2,-9.65,-77.75
1981-04-11,1.2818524,Shukkloc,PISCO_v2,-9.65,-77.75
1981-04-12,3.5910945,Shukkloc,PISCO_v2,-9.65,-77.75
1981-04-13,3.3344505,Shukkloc,PISCO_v2,-9.65,-77.75
1981-04-14,1.204592,Shukkloc,PISCO_v2,-9.65,-77.75
1981-04-15,2.0799663,Shukkloc,PISCO_v2,-9.65,-77.75
1981-04-16,0.9914939,Shukkloc,PISCO_v2,-9.65,-77.75
1981-04-17,0.08204119,Shukkloc,PISCO_v2,-9.65,-77.75
1981-04-18,0.60054624,Shukkloc,PISCO_v2,-9.65,-77.75
1981-04-19,1.1160524,Shukkloc,PISCO_v2,-9.65,-77.75
1981-04-20,0.019581474,Shukkloc,PISCO_v2,-9.65,-77.75
1981-04-21,0.25767833,Shukkloc,PISCO_v2,-9.65,-77.75
1981-04-22,0.34470844,Shukkloc,PISCO_v2,-9.65,-77.75
1981-04-23,0.38476393,Shukkloc,PISCO_v2,-9.65,-77.75
1981-04-24,0.5546713,Shukkloc,PISCO_v2,-9.65,-77.75
1981-04-25,1.7265921,Shukkloc,PISCO_v2,-9.65,-77.75
1981-04-26,1.4828752,Shukkloc,PISCO_v2,-9.65,-77.75
1981-04-27,0.24469118,Shukkloc,PISCO_v2,-9.65,-77.75
1981-04-28,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-04-29,0.013497249,Shukkloc,PISCO_v2,-9.65,-77.75
1981-04-30,0.319899,Shukkloc,PISCO_v2,-9.65,-77.75
1981-05-01,0.6688268,Shukkloc,PISCO_v2,-9.65,-77.75
1981-05-02,0.43216872,Shukkloc,PISCO_v2,-9.65,-77.75
1981-05-03,0.5188127,Shukkloc,PISCO_v2,-9.65,-77.75
1981-05-04,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-05-05,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-05-06,0.32111505,Shukkloc,PISCO_v2,-9.65,-77.75
1981-05-07,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-05-08,0.01267118,Shukkloc,PISCO_v2,-9.65,-77.75
1981-05-09,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-05-10,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-05-11,0.22038211,Shukkloc,PISCO_v2,-9.65,-77.75
1981-05-12,0.026309144,Shukkloc,PISCO_v2,-9.65,-77.75
1981-05-13,0.18719494,Shukkloc,PISCO_v2,-9.65,-77.75
1981-05-14,0.5827316,Shukkloc,PISCO_v2,-9.65,-77.75
